"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Rodentia" "Sciurus carolinensis" 545.4 253.48 0.008569038 2.98
"Rodentia" "Sciurus colliaei" 498 253.14 NA 2.66
"Rodentia" "Sciurus deppei" 249.5 200.49 0.01 2.91
"Rodentia" "Sciurus flammifer" NA NA NA NA
"Rodentia" "Sciurus gilvigularis" 803 NA NA NA
"Rodentia" "Sciurus granatensis" 318.44 221.71 0.007784702 1.9
"Rodentia" "Sciurus griseus" 703.85 293.12 0.008025903 2.65
"Rodentia" "Sciurus ignitus" 190 NA NA NA
"Rodentia" "Sciurus igniventris" 700 NA NA NA
"Rodentia" "Sciurus lis" 264.3 NA 0.13 NA
"Rodentia" "Sciurus nayaritensis" 697 282.15 NA 2.43
"Rodentia" "Sciurus niger" NA NA 0.23 NA
"Rodentia" "Sciurus oculatus" 649.98 267.2 NA NA
"Rodentia" "Sciurus pucheranii" 803 NA NA NA
"Rodentia" "Sciurus pyrrhinus" 482 NA NA NA
"Rodentia" "Sciurus richmondi" 237.51 194.4 NA 2.59
"Rodentia" "Sciurus sanborni" 136 NA NA NA
"Rodentia" "Sciurus spadiceus" 403.32 NA NA NA
"Rodentia" "Sciurus stramineus" 433.3 NA NA NA
"Rodentia" "Sciurus variegatoides" 485 262.6 NA 4.99
"Rodentia" "Sciurus vulgaris" 333 213.17 0.05 4.5
"Rodentia" "Sciurus yucatanensis" 225 236.86 NA 3
"Chiroptera" "Scleronycteris ega" 49.54 NA NA NA
"Rodentia" "Scolomys melanops" 26.5 NA NA NA
"Rodentia" "Scolomys ucayalensis" 26.5 NA NA NA
"Chiroptera" "Scoteanax rueppellii" 26.41 NA NA 1
"Rodentia" "Scotinomys teguina" 11.59 NA NA 2.46
"Rodentia" "Scotinomys xerampelinus" 15.07 NA NA 3.08
"Chiroptera" "Scotoecus albigula" 10.08 NA NA NA
"Chiroptera" "Scotoecus albofuscus" 4.5 NA NA NA
"Chiroptera" "Scotoecus hindei" 10.41 NA NA NA
"Chiroptera" "Scotoecus hirundo" 8.45 NA NA 1.96
"Chiroptera" "Scotoecus pallidus" NA NA NA NA
"Chiroptera" "Scotomanes ornatus" 22.24 NA NA NA
"Chiroptera" "Scotonycteris ophiodon" 69.42 NA NA 0.98
"Chiroptera" "Scotonycteris zenkeri" 21.3 NA NA 0.99
"Chiroptera" "Scotophilus borbonicus" 19.02 NA NA 2
"Chiroptera" "Scotophilus celebensis" NA NA NA NA
"Chiroptera" "Scotophilus collinus" NA NA NA NA
"Chiroptera" "Scotophilus dinganii" 25.12 NA NA 2.2
"Chiroptera" "Scotophilus heathii" 36.13 NA NA 1.92
"Chiroptera" "Scotophilus kuhlii" 20.31 NA NA 1.5
"Chiroptera" "Scotophilus leucogaster" 20.24 NA NA 1.38
"Chiroptera" "Scotophilus nigrita" 27.34 NA NA 1.5
"Chiroptera" "Scotophilus nucella" NA NA NA NA
"Chiroptera" "Scotophilus nux" 30 NA NA NA
"Chiroptera" "Scotophilus robustus" NA 152.5 NA NA
"Chiroptera" "Scotophilus viridis" 19.81 NA NA 2
"Chiroptera" "Scotorepens balstoni" 11.92 NA NA 1.41
"Chiroptera" "Scotorepens greyii" 10 NA NA NA
"Chiroptera" "Scotorepens orion" 11.83 NA NA NA
"Chiroptera" "Scotorepens sanborni" 8.13 NA NA NA
"Chiroptera" "Scotozous dormeri" 6.79 NA NA 1.08
"Soricomorpha" "Scutisorex somereni" 91.49 NA NA 1.85
"Rodentia" "Sekeetamys calurus" 56.61 NA NA 2.9
"Rodentia" "Selevinia betpakdalaensis" 17.12 84.99 NA 6.9
"Primates" "Semnopithecus ajax" NA NA NA NA
"Primates" "Semnopithecus dussumieri" NA NA NA NA
"Primates" "Semnopithecus entellus" 12679.29 595 1.3 1.02
"Primates" "Semnopithecus hector" NA NA NA NA
"Primates" "Semnopithecus hypoleucos" 10026.65 655 NA NA
"Primates" "Semnopithecus priam" NA NA NA NA
"Primates" "Semnopithecus schistaceus" NA NA NA NA
"Afrosoricida" "Setifer setosus" 263.22 185 NA 3.24
"Diprotodontia" "Setonix brachyurus" 3027.67 NA NA 1
"Rodentia" "Sicista armenica" NA NA NA NA
"Rodentia" "Sicista betulina" 8.92 NA NA 5.29
"Rodentia" "Sicista caucasica" NA NA NA NA
"Rodentia" "Sicista caudata" NA NA NA NA
"Rodentia" "Sicista concolor" NA NA NA NA
"Rodentia" "Sicista kazbegica" NA NA NA NA
"Rodentia" "Sicista kluchorica" NA NA NA NA
"Rodentia" "Sicista napaea" 10 NA NA 3.49
"Rodentia" "Sicista pseudonapaea" NA NA NA NA
"Rodentia" "Sicista severtzovi" NA NA NA NA
"Rodentia" "Sicista strandi" NA NA NA NA
"Rodentia" "Sicista subtilis" 11.75 NA NA NA
"Rodentia" "Sicista tianshanica" NA NA NA 4.37
"Rodentia" "Sigmodon alleni" 174.09 170.03 NA NA
"Rodentia" "Sigmodon alstoni" 55.7 NA NA 5.18
"Rodentia" "Sigmodon arizonae" 198 NA NA NA
"Rodentia" "Sigmodon fulviventer" 195.94 180.35 NA 7.5
"Rodentia" "Sigmodon hirsutus" NA NA NA NA
"Rodentia" "Sigmodon hispidus" 110.65 167.5 0.002399307 5.44
"Rodentia" "Sigmodon inopinatus" 140.5 NA NA NA
"Rodentia" "Sigmodon leucotis" 131.78 157.25 NA NA
"Rodentia" "Sigmodon mascotensis" 120 NA NA NA
"Rodentia" "Sigmodon ochrognathus" 122 151.14 0.001664175 3
"Rodentia" "Sigmodon peruanus" NA NA NA NA
"Rodentia" "Sigmodon planifrons" NA NA NA NA
"Rodentia" "Sigmodon toltecus" NA NA NA NA
"Rodentia" "Sigmodon zanjonensis" NA NA NA NA
"Rodentia" "Sigmodontomys alfari" NA NA NA NA
"Rodentia" "Sigmodontomys aphrastus" NA NA NA NA
"Primates" "Simias concolor" 7393.9 499.99 0.1 1.02
"Dasyuromorphia" "Sminthopsis aitkeni" 22.5 NA NA NA
"Dasyuromorphia" "Sminthopsis archeri" 16 92.42 NA 8.15
"Dasyuromorphia" "Sminthopsis bindi" NA NA NA NA
"Dasyuromorphia" "Sminthopsis boullangerensis" NA NA NA NA
"Dasyuromorphia" "Sminthopsis butleri" 25 NA NA NA
"Dasyuromorphia" "Sminthopsis crassicaudata" 15.98 NA NA 6.52
"Dasyuromorphia" "Sminthopsis dolichura" 14.39 NA NA 7.2
"Dasyuromorphia" "Sminthopsis douglasi" 54.99 95 NA 6.78
"Dasyuromorphia" "Sminthopsis fuliginosus" NA NA NA NA
"Dasyuromorphia" "Sminthopsis gilberti" 19.5 NA NA NA
"Dasyuromorphia" "Sminthopsis granulipes" 25 NA NA NA
"Dasyuromorphia" "Sminthopsis griseoventer" 17.5 NA NA NA
"Dasyuromorphia" "Sminthopsis hirtipes" 15 NA NA NA
"Dasyuromorphia" "Sminthopsis leucopus" 23.36 NA 0.008904945 8.4
"Dasyuromorphia" "Sminthopsis longicaudata" 18 95 NA 4.24
"Dasyuromorphia" "Sminthopsis macroura" 23.56 NA NA 7
"Dasyuromorphia" "Sminthopsis murina" 17 NA NA 8
"Dasyuromorphia" "Sminthopsis ooldea" 12.19 NA NA 7.24
"Dasyuromorphia" "Sminthopsis psammophila" 33.5 105 NA 5.49
"Dasyuromorphia" "Sminthopsis virginiae" 35.24 110.07 NA 4.11
"Dasyuromorphia" "Sminthopsis youngsoni" 11.14 NA NA 5.49
"Soricomorpha" "Solenodon arredondoi" NA NA NA NA
"Soricomorpha" "Solenodon cubanus" 824.62 349.85 NA 1.5
"Soricomorpha" "Solenodon marcanoi" NA NA NA NA
"Soricomorpha" "Solenodon paradoxus" 899.99 306 NA 1.64
"Soricomorpha" "Solisorex pearsoni" NA NA NA NA
"Rodentia" "Solomys ponceleti" 1000 270 NA NA
"Rodentia" "Solomys salamonis" NA 270 NA NA
"Rodentia" "Solomys salebrosus" 397 NA NA NA
"Rodentia" "Solomys sapientis" NA 270 NA NA
"Rodentia" "Solomys spriggsarum" NA NA NA NA
"Rodentia" "Sommeromys macrorhinos" NA NA NA NA
"Soricomorpha" "Sorex alaskanus" 14 NA NA NA
"Soricomorpha" "Sorex alpinus" 8.04 67.5 NA 5.95
"Soricomorpha" "Sorex antinorii" NA NA NA NA
"Soricomorpha" "Sorex araneus" 9.18 72.78 0.000446055 6.56
"Soricomorpha" "Sorex arcticus" 8.19 75.06 0.004174389 6.69
"Soricomorpha" "Sorex arizonae" 2.7 57.98 NA NA
"Soricomorpha" "Sorex arunchi" NA NA NA NA
"Soricomorpha" "Sorex asper" NA 65 NA NA
"Soricomorpha" "Sorex averini" NA NA NA NA
"Soricomorpha" "Sorex bairdi" 8.33 NA NA NA
"Soricomorpha" "Sorex bedfordiae" NA 68.49 NA NA
"Soricomorpha" "Sorex bendirii" 15.76 85.99 NA NA
"Soricomorpha" "Sorex buchariensis" NA NA NA NA
"Soricomorpha" "Sorex caecutiens" 6.3 66.12 0.000203282 7.24
"Soricomorpha" "Sorex camtschatica" NA NA NA NA
"Soricomorpha" "Sorex cansulus" NA 80 NA 5.49
"Soricomorpha" "Sorex cinereus" 4.2 57.2 0.004044228 6.49
"Soricomorpha" "Sorex coronatus" 9.32 72.99 0.0003073 4.94
"Soricomorpha" "Sorex cylindricauda" NA NA NA 4.99
"Soricomorpha" "Sorex daphaenodon" 8.1 71.28 NA 5.99
"Soricomorpha" "Sorex dispar" 4.99 63.09 NA 4.18
"Soricomorpha" "Sorex emarginatus" 7 NA NA NA
"Soricomorpha" "Sorex excelsus" NA NA NA NA
"Soricomorpha" "Sorex fumeus" 7.83 72.07 NA 5.49
"Soricomorpha" "Sorex gaspensis" 3.35 55.3 NA 5.33
"Soricomorpha" "Sorex gracillimus" 4.4 53.5 0.000316461 4.58
"Soricomorpha" "Sorex granarius" 6.39 63.1 NA 4.89
"Soricomorpha" "Sorex haydeni" NA NA NA 7
"Soricomorpha" "Sorex hosonoi" NA 59.99 NA NA
"Soricomorpha" "Sorex hoyi" 3.37 53.99 NA 5.84
"Soricomorpha" "Sorex isodon" 12.23 74.87 NA 7.09
"Soricomorpha" "Sorex jacksoni" 6.01 63.64 NA NA
"Soricomorpha" "Sorex kozlovi" NA NA NA NA
"Soricomorpha" "Sorex leucogaster" NA NA NA NA
"Soricomorpha" "Sorex longirostris" 3.29 51.14 NA 3.99
"Soricomorpha" "Sorex lyelli" 4.99 NA NA NA
"Soricomorpha" "Sorex macrodon" 8.61 NA NA NA
"Soricomorpha" "Sorex maritimensis" NA NA NA NA
"Soricomorpha" "Sorex merriami" 5.99 60.01 NA 5.99
"Soricomorpha" "Sorex milleri" 4.07 NA NA NA
"Soricomorpha" "Sorex minutissimus" 2.46 52.04 NA 8.99
"Soricomorpha" "Sorex palustris" 13.07 74.87 0.002320105 5.46
"Soricomorpha" "Sorex ventralis" 7 NA NA NA
"Soricomorpha" "Sorex veraecrucis" NA NA NA NA
"Soricomorpha" "Sorex veraepacis" 7.5 NA NA NA
"Soricomorpha" "Sorex volnuchini" NA NA NA NA
"Soricomorpha" "Sorex yukonicus" NA NA NA NA
"Soricomorpha" "Soriculus nigrescens" 14.58 98.49 NA 4.89
"Cetacea" "Sotalia fluviatilis" 42833.44 NA NA 0.97
"Cetacea" "Sousa chinensis" 279999.99 NA NA 1
"Cetacea" "Sousa teuszii" 99999.99 NA NA NA
"Rodentia" "Spalacopus cyanus" 100.86 132.78 7.86164e-05 3.14
"Rodentia" "Spalax arenarius" NA NA NA NA
"Rodentia" "Spalax carmeli" NA NA NA NA
"Rodentia" "Spalax ehrenbergi" 164.35 NA NA NA
"Rodentia" "Spalax galili" NA NA NA NA
"Rodentia" "Spalax giganteus" NA NA NA NA
"Rodentia" "Spalax golani" NA NA NA NA
"Artiodactyla" "Aepyceros melampus" 52591.69 1420 1.97 0.98
"Diprotodontia" "Aepyprymnus rufescens" 2810.31 NA NA 1.03
"Rodentia" "Aeretes melanopterus" NA NA NA NA
"Rodentia" "Aeromys tephromelas" 1187 378.86 NA 1.07
"Rodentia" "Aeromys thomasi" 1430.19 340.5 NA NA
"Chiroptera" "Aethalops aequalis" NA NA NA NA
"Chiroptera" "Aethalops alecto" 15 NA NA 0.99
"Rodentia" "Aethomys bocagei" NA NA NA NA
"Rodentia" "Spermophilus erythrogenys" NA NA NA 7.77
"Rodentia" "Spermophilus franklinii" 457.64 245.61 0.13 8.69
"Rodentia" "Spermophilus fulvus" 778.38 NA NA 5.99
"Rodentia" "Spermophilus lateralis" 175.1 214.38 NA 5.18
"Rodentia" "Spermophilus madrensis" 207.12 171.48 NA 4.34
"Rodentia" "Spermophilus major" NA NA NA NA
"Rodentia" "Spermophilus mexicanus" 177.49 193.4 NA 5.91
"Rodentia" "Spermophilus mohavensis" 213.18 156.53 0.01 6.5
"Rodentia" "Spermophilus mollis" 165.4 NA 0.000957999 7.97
"Rodentia" "Spermophilus musicus" NA NA NA NA
"Rodentia" "Spermophilus pallidicauda" NA NA NA NA
"Rodentia" "Spermophilus parryii" 747.09 278.92 0.02 6.5
"Rodentia" "Spermophilus perotensis" 140 179 NA 6.07
"Rodentia" "Spermophilus pygmaeus" 173.46 NA NA 7.08
"Rodentia" "Spermophilus ralli" NA NA NA NA
"Rodentia" "Spermophilus relictus" 599.99 NA NA 4.89
"Rodentia" "Spermophilus richardsonii" 325.1 210.97 0.00402332 7.59
"Rodentia" "Spermophilus saturatus" NA NA NA NA
"Rodentia" "Spermophilus spilosoma" 106.64 145.5 0.009534137 6.94
"Rodentia" "Spermophilus suslicus" 252 NA NA 5.49
"Rodentia" "Spermophilus tereticaudus" 147.57 154.53 0.01 6.32
"Rodentia" "Spermophilus townsendii" 207.29 173.15 NA 8.49
"Rodentia" "Spermophilus tridecemlineatus" 174.91 137.5 0.01 8.08
"Rodentia" "Spermophilus undulatus" 742.91 NA 0.02 7.77
"Rodentia" "Spermophilus variegatus" 714.58 273.5 0.03 4.93
"Rodentia" "Spermophilus washingtoni" 215.09 166 NA 7.88
"Rodentia" "Spermophilus xanthoprymnus" NA NA NA 4.99
"Chiroptera" "Sphaerias blanfordi" 28.88 NA NA NA
"Chiroptera" "Sphaeronycteris toxophyllum" 16.06 NA NA NA
"Rodentia" "Sphiggurus ichillus" NA NA NA NA
"Rodentia" "Sphiggurus insidiosus" 998.32 NA NA 0.97
"Rodentia" "Sphiggurus melanurus" 1900 398.8 NA NA
"Artiodactyla" "Addax nasomaculatus" 96077.36 NA NA 1
"Rodentia" "Aepeomys lugens" 37 NA NA NA
"Rodentia" "Aepeomys reigi" NA NA NA NA
"Rodentia" "Aethomys chrysophilus" 80.85 141.52 NA 3.09
"Rodentia" "Aethomys hindei" 140.65 NA 0.000609998 2.05
"Rodentia" "Aethomys ineptus" 133.16 142 NA NA
"Rodentia" "Aethomys kaiseri" 89.99 NA NA 3
"Rodentia" "Aethomys nyikae" NA NA NA 3.56
"Rodentia" "Aethomys silindensis" NA NA NA NA
"Rodentia" "Aethomys stannarius" NA NA NA NA
"Rodentia" "Aethomys thomasi" NA NA NA NA
"Carnivora" "Ailuropoda melanoleuca" 117999.99 1345.98 3.55 1.62
"Diprotodontia" "Ailurops melanotis" NA NA NA NA
"Diprotodontia" "Ailurops ursinus" 10000 NA NA NA
"Carnivora" "Ailurus fulgens" 5170.08 582.32 1.43 1.7
"Rodentia" "Akodon aerosus" 59.99 NA NA NA
"Diprotodontia" "Spilocuscus maculatus" 4060.46 457.96 NA 1.26
"Diprotodontia" "Spilocuscus papuensis" NA NA NA NA
"Diprotodontia" "Spilocuscus rufoniger" 5999.99 NA NA 1.02
"Carnivora" "Spilogale angustifrons" NA NA NA NA
"Carnivora" "Spilogale gracilis" NA NA NA NA
"Carnivora" "Spilogale putorius" 566.49 299.49 0.29 5.07
"Carnivora" "Spilogale pygmaea" 365 NA NA 4
"Rodentia" "Srilankamys ohiensis" NA NA NA NA
"Rodentia" "Steatomys bocagei" NA NA NA NA
"Rodentia" "Steatomys caurinus" NA NA NA NA
"Rodentia" "Steatomys cuppedius" NA NA NA NA
"Rodentia" "Steatomys jacksoni" NA NA NA NA
"Rodentia" "Steatomys krebsii" 20.67 NA NA 4.62
"Rodentia" "Steatomys opimus" 40 116.15 NA NA
"Rodentia" "Steatomys parvus" 4.99 NA NA NA
"Rodentia" "Steatomys pratensis" 30.58 NA NA 3.96
"Cetacea" "Stenella attenuata" 65733.59 2135 NA 0.99
"Cetacea" "Stenella clymene" NA NA NA NA
"Cetacea" "Stenella coeruleoalba" 142102.96 2300.84 NA 1.75
"Cetacea" "Stenella frontalis" 109999.99 2130 NA NA
"Cetacea" "Stenella longirostris" 50500 2130 NA 0.97
"Cetacea" "Steno bredanensis" 130000 2439.99 NA NA
"Rodentia" "Stenocephalemys albipes" NA NA NA 4.41
"Rodentia" "Stenocephalemys albocaudata" 144 NA NA NA
"Rodentia" "Stenocephalemys griseicauda" 85.75 NA NA NA
"Rodentia" "Stenocephalemys ruppi" 48.99 NA NA NA
"Chiroptera" "Stenoderma rufum" 21.1 61.87 NA 0.99
"Rodentia" "Stochomys longicaudatus" 70.95 NA NA 2.38
"Diprotodontia" "Strigocuscus celebensis" NA NA NA NA
"Diprotodontia" "Strigocuscus pelengensis" NA NA NA NA
"Chiroptera" "Sturnira aratathomasi" 49.67 89.27 NA 0.99
"Chiroptera" "Sturnira bidens" 18.05 NA NA 0.99
"Chiroptera" "Sturnira bogotensis" 19.94 NA NA 0.98
"Chiroptera" "Sturnira erythromos" 15.53 NA NA 0.99
"Chiroptera" "Sturnira lilium" 20.19 65.96 NA 0.99
"Chiroptera" "Sturnira ludovici" 21 NA NA 0.99
"Chiroptera" "Sturnira luisi" NA NA NA NA
"Chiroptera" "Sturnira magna" NA NA NA 0.98
"Chiroptera" "Sturnira mistratensis" NA NA NA NA
"Chiroptera" "Sturnira mordax" 11.79 NA NA 0.98
"Chiroptera" "Sturnira nana" NA NA NA 0.98
"Chiroptera" "Sturnira oporaphilum" 21.99 NA NA NA
"Chiroptera" "Sturnira thomasi" NA NA NA NA
"Chiroptera" "Sturnira tildae" 24.39 NA NA 0.98
"Chiroptera" "Styloctenium wallacei" 172.42 164.5 NA NA
"Rodentia" "Stylodipus andrewsi" NA NA NA NA
"Rodentia" "Stylodipus sungorus" NA NA NA NA
"Rodentia" "Stylodipus telum" 59.99 NA 0.00350188 3.49
"Soricomorpha" "Suncus aequatorius" NA NA NA NA
"Soricomorpha" "Suncus ater" NA NA NA NA
"Soricomorpha" "Suncus dayi" NA NA NA NA
"Soricomorpha" "Suncus etruscus" 2.26 NA NA 4
"Soricomorpha" "Suncus fellowesgordoni" NA NA NA NA
"Soricomorpha" "Suncus hosei" NA NA NA NA
"Soricomorpha" "Suncus infinitesimus" 4.4 NA NA NA
"Soricomorpha" "Suncus lixus" 8 NA NA 2.99
"Soricomorpha" "Suncus madagascariensis" 2.47 NA NA NA
"Soricomorpha" "Suncus malayanus" 4.99 NA NA NA
"Soricomorpha" "Suncus megalura" 5.38 NA NA 1.89
"Soricomorpha" "Suncus mertensi" NA NA NA NA
"Soricomorpha" "Suncus montanus" NA NA NA NA
"Soricomorpha" "Suncus murinus" 43.76 126.36 NA 3.1
"Soricomorpha" "Suncus remyi" 4.03 NA NA NA
"Soricomorpha" "Suncus stoliczkanus" NA NA NA NA
"Soricomorpha" "Suncus varilla" 4.99 NA NA 3.49
"Soricomorpha" "Suncus zeylanicus" NA NA NA NA
"Rodentia" "Sundamys infraluteus" 418.5 NA NA NA
"Rodentia" "Sundamys maxi" NA NA NA NA
"Chiroptera" "Tadarida fulminans" 33.89 NA NA 1
"Chiroptera" "Tadarida insignis" NA NA NA NA
"Chiroptera" "Tadarida kuboriensis" 26.8 NA NA NA
"Artiodactyla" "Tragelaphus scriptus" 43250.39 1247.1 0.02 1
"Artiodactyla" "Tragelaphus spekii" 75554.25 1520.84 NA 1
"Artiodactyla" "Tragelaphus strepsiceros" 206056.41 2199.99 835.1 1
"Artiodactyla" "Tragulus javanicus" 1889.93 514.29 NA 0.98
"Artiodactyla" "Tragulus kanchil" NA NA NA NA
"Artiodactyla" "Tragulus napu" 5273.67 562.36 NA 0.96
"Artiodactyla" "Tragulus nigricans" NA NA NA NA
"Artiodactyla" "Tragulus versicolor" NA NA NA NA
"Artiodactyla" "Tragulus williamsoni" NA NA NA NA
"Carnivora" "Tremarctos ornatus" 123176.97 1766.58 NA 1.44
"Chiroptera" "Triaenops auritus" NA NA NA NA
"Chiroptera" "Triaenops furculus" 5.56 67.5 NA NA
"Chiroptera" "Triaenops persicus" 13.18 NA NA NA
"Chiroptera" "Triaenops rufus" 9.1 87.49 NA NA
"Sirenia" "Trichechus inunguis" 418001.19 2751.93 NA 1
"Sirenia" "Trichechus manatus" 467324.83 3494.78 NA 1.22
"Sirenia" "Trichechus senegalensis" 454000 3499.99 NA 1
"Diprotodontia" "Trichosurus arnhemensis" 1540.74 NA NA 1.01
"Diprotodontia" "Trichosurus caninus" 3115.06 NA 0.02 1.02
"Diprotodontia" "Trichosurus cunninghami" NA NA NA NA
"Diprotodontia" "Trichosurus johnstonii" NA NA NA NA
"Diprotodontia" "Trichosurus vulpecula" 2685.39 472.78 0.03 1.02
"Rodentia" "Trichys fasciculata" 1750 414.99 NA NA
"Rodentia" "Trinomys albispinus" 284.99 NA NA NA
"Chiroptera" "Tadarida latouchei" NA NA NA NA
"Perissodactyla" "Tapirus pinchaque" 156923.4 NA 6.38 1
"Perissodactyla" "Tapirus terrestris" 169496.64 2004.97 NA 1
"Diprotodontia" "Tarsipes rostratus" 9.66 77.34 0.000814137 2.93
"Primates" "Tarsius bancanus" 114.39 106.59 0.01 1
"Primates" "Tarsius dentatus" 110.42 117.5 0.003855591 1.01
"Primates" "Tarsius pelengensis" 165 NA NA 1.02
"Primates" "Tarsius pumilus" NA 100 NA 1.01
"Rodentia" "Sphiggurus mexicanus" 2000 NA NA 0.98
"Rodentia" "Sphiggurus pruinosus" NA NA NA NA
"Rodentia" "Sphiggurus roosmalenorum" NA NA NA NA
"Rodentia" "Sphiggurus spinosus" 750.78 NA NA NA
"Rodentia" "Sphiggurus vestitus" 736 NA NA NA
"Rodentia" "Sphiggurus villosus" 1750.01 NA NA 1
"Diprotodontia" "Spilocuscus kraemeri" NA NA NA 1.02
"Rodentia" "Acomys cahirinus" 41.16 NA 0.000880412 2.43
"Rodentia" "Acomys chudeaui" NA NA NA NA
"Rodentia" "Acomys cilicicus" NA NA NA NA
"Rodentia" "Acomys cineraceus" NA 84.74 NA NA
"Rodentia" "Acomys dimidiatus" NA NA NA NA
"Rodentia" "Acomys ignitus" NA NA NA NA
"Rodentia" "Acomys johannis" NA NA NA NA
"Rodentia" "Acomys kempi" 21.99 NA NA NA
"Rodentia" "Acomys louisae" 20.19 NA NA NA
"Rodentia" "Acomys minous" 62.5 NA NA NA
"Rodentia" "Acomys mullah" NA NA NA NA
"Rodentia" "Acomys nesiotes" NA NA NA NA
"Rodentia" "Acomys percivali" 21.99 NA NA NA
"Rodentia" "Acomys russatus" 42.35 111.08 0.000488186 2.5
"Rodentia" "Acomys seurati" NA NA NA NA
"Rodentia" "Acomys spinosissimus" 26.5 NA NA 2.71
"Rodentia" "Acomys subspinosus" 21.92 NA NA NA
"Rodentia" "Acomys wilsoni" 18.5 79.76 NA 2.29
"Rodentia" "Aconaemys fuscus" 129.95 NA NA 3.23
"Rodentia" "Aconaemys porteri" NA NA NA NA
"Rodentia" "Aconaemys sagei" 96.49 NA NA NA
"Diprotodontia" "Acrobates pygmaeus" 13.84 NA 0.005959065 2.8
"Rodentia" "Sundamys muelleri" 356.48 239 NA NA
"Rodentia" "Sundasciurus brookei" 114.05 186.14 NA NA
"Rodentia" "Sundasciurus davensis" NA 210 NA NA
"Rodentia" "Sundasciurus fraterculus" NA NA NA NA
"Rodentia" "Sundasciurus hippurus" 357.79 227.98 NA NA
"Rodentia" "Sundasciurus hoogstraali" NA 210 NA NA
"Rodentia" "Sundasciurus jentinki" NA 210 NA NA
"Rodentia" "Sundasciurus juvencus" NA 210 NA NA
"Rodentia" "Sundasciurus lowii" 84.99 137.56 NA 2.46
"Rodentia" "Sundasciurus mindanensis" NA 210 NA NA
"Rodentia" "Sundasciurus moellendorffi" NA 210 NA NA
"Rodentia" "Sundasciurus philippinensis" NA 210 NA NA
"Rodentia" "Sundasciurus rabori" NA 210 NA NA
"Rodentia" "Sundasciurus samarensis" 225 210 NA NA
"Rodentia" "Sundasciurus steerii" NA 210 NA NA
"Rodentia" "Sundasciurus tenuis" 74.87 168.37 NA 3.11
"Soricomorpha" "Surdisorex norae" 23.57 95.99 NA 1.41
"Soricomorpha" "Surdisorex polulus" 8.99 NA NA 1.49
"Carnivora" "Suricata suricatta" 729.99 285.71 11.76 3.86
"Artiodactyla" "Sus ahoenobarbus" NA NA NA NA
"Artiodactyla" "Sus barbatus" 135805.95 1349.99 NA 6.59
"Artiodactyla" "Sus bucculentus" NA NA NA NA
"Artiodactyla" "Sus cebifrons" 190792.3 1349.99 NA 4.58
"Artiodactyla" "Sus celebensis" 53813.21 NA NA 3.24
"Artiodactyla" "Sus oliveri" NA NA NA NA
"Artiodactyla" "Sus philippensis" 190792.3 1349.99 NA 6.24
"Artiodactyla" "Sus salvanius" 7974.13 599.66 0.15 3.66
"Artiodactyla" "Sus scrofa" 84471.54 1349.99 1.18 4.52
"Artiodactyla" "Sus verrucosus" 89406.23 1250 NA 5.47
"Chiroptera" "Syconycteris australis" 17.6 67.38 NA 1
"Chiroptera" "Syconycteris carolinae" 39.67 NA NA NA
"Chiroptera" "Syconycteris hobbit" 20.06 68.87 NA 0.98
"Artiodactyla" "Sylvicapra grimmia" 15639.15 960.71 NA 0.98
"Lagomorpha" "Sylvilagus aquaticus" 2133.34 457.55 0.01 3
"Lagomorpha" "Sylvilagus audubonii" 880.88 325.24 0.03 3
"Lagomorpha" "Sylvilagus bachmani" 714.53 303.78 0.0022227 3.35
"Lagomorpha" "Sylvilagus brasiliensis" 986.74 363.29 NA 1.9
"Lagomorpha" "Sylvilagus cognatus" NA 385.99 NA NA
"Lagomorpha" "Sylvilagus cunicularius" 2489.54 435.98 NA 3.71
"Lagomorpha" "Sylvilagus dicei" NA 374.48 NA 4.5
"Lagomorpha" "Sylvilagus floridanus" 1207.19 371 0.01 4.62
"Lagomorpha" "Sylvilagus graysoni" 964.01 428.6 NA NA
"Lagomorpha" "Sylvilagus insonus" 2999.98 392.49 NA NA
"Lagomorpha" "Sylvilagus mansuetus" NA 294.99 NA NA
"Lagomorpha" "Sylvilagus nuttallii" 801.54 324.46 NA 4.79
"Lagomorpha" "Sylvilagus obscurus" NA NA NA NA
"Lagomorpha" "Sylvilagus palustris" 1355.23 401.8 0.03 2.96
"Lagomorpha" "Sylvilagus robustus" NA 394.2 NA NA
"Lagomorpha" "Sylvilagus transitionalis" 813.51 362.99 0.004289748 4.41
"Lagomorpha" "Sylvilagus varynaensis" NA NA NA NA
"Soricomorpha" "Sylvisorex camerunensis" NA NA NA NA
"Soricomorpha" "Sylvisorex granti" NA NA NA 1.78
"Soricomorpha" "Sylvisorex howelli" NA NA NA NA
"Soricomorpha" "Sylvisorex isabellae" NA NA NA NA
"Soricomorpha" "Sylvisorex johnstoni" 3.19 53.07 NA NA
"Soricomorpha" "Sylvisorex konganensis" 5.15 NA NA NA
"Soricomorpha" "Sylvisorex lunaris" 18.78 NA NA 2.69
"Soricomorpha" "Sylvisorex morio" NA NA NA 1.99
"Soricomorpha" "Sylvisorex ollula" 16.59 83.54 NA NA
"Soricomorpha" "Sylvisorex oriundus" NA NA NA NA
"Soricomorpha" "Sylvisorex pluvialis" NA NA NA NA
"Soricomorpha" "Sylvisorex vulcanorum" 3.49 NA NA NA
