"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Primates" "Cercopithecus mona" 3980.17 510 NA 1
"Primates" "Cercopithecus neglectus" 5324.52 510 0.06 1.02
"Primates" "Cercopithecus nictitans" 5256.91 549.99 1.15 1
"Primates" "Cercopithecus petaurista" 3233.67 410 NA 1.02
"Primates" "Cercopithecus pogonias" 3578.27 459.99 1.15 1.01
"Primates" "Cercopithecus preussi" 5132.57 545 NA 1.02
"Primates" "Cercopithecus roloway" NA NA NA NA
"Primates" "Cercopithecus sclateri" 3067.29 NA NA 1.02
"Primates" "Cercopithecus solatus" 5256.91 NA NA 1.01
"Primates" "Cercopithecus wolfi" 3255.18 480 NA 1.02
"Carnivora" "Cerdocyon thous" 5741.66 648.06 1.41 3.09
"Artiodactyla" "Cervus elaphus" 240867.13 2136.72 58.42 1.09
"Artiodactyla" "Cervus nippon" 52999.99 1200.51 1.43 1
"Chiroptera" "Chaerephon aloysiisabaudiae" NA NA NA NA
"Chiroptera" "Chaerephon ansorgei" NA NA NA NA
"Chiroptera" "Chaerephon bemmeleni" NA NA NA NA
"Chiroptera" "Chaerephon bivittatus" 15.42 NA NA NA
"Chiroptera" "Chaerephon bregullae" NA NA NA NA
"Chiroptera" "Chaerephon chapini" NA NA NA NA
"Chiroptera" "Chaerephon gallagheri" NA NA NA NA
"Chiroptera" "Chaerephon jobensis" 20.71 NA NA NA
"Chiroptera" "Chaerephon johorensis" NA NA NA NA
"Chiroptera" "Chaerephon leucogaster" NA NA NA NA
"Chiroptera" "Chaerephon major" 15.17 NA NA 1
"Chiroptera" "Chaerephon nigeriae" 20.14 NA NA NA
"Chiroptera" "Chaerephon plicatus" 21.83 NA NA 0.99
"Chiroptera" "Chaerephon pumilus" 10.98 NA NA 1
"Chiroptera" "Chaerephon russatus" 16.98 NA NA 0.99
"Chiroptera" "Chaerephon shortridgei" NA NA NA NA
"Chiroptera" "Chaerephon solomonis" NA NA NA NA
"Chiroptera" "Chaerephon tomensis" 7.48 NA NA NA
"Peramelemorphia" "Chaeropus ecaudatus" 219.51 NA NA 1.41
"Rodentia" "Chaetocauda sichuanensis" 31.51 91.8 NA NA
"Rodentia" "Chaetodipus arenarius" 23 68.37 NA 2.91
"Rodentia" "Chaetodipus artus" NA 88.81 NA NA
"Rodentia" "Chaetodipus baileyi" 28.44 93.93 NA 3.68
"Rodentia" "Chaetodipus californicus" 23.01 NA NA 4
"Rodentia" "Chaetodipus dalquesti" NA NA NA NA
"Rodentia" "Chaetodipus eremicus" NA NA NA NA
"Rodentia" "Chaetodipus fallax" 19.19 83.35 0.002300009 3.45
"Rodentia" "Chaetodipus formosus" 20.02 193.91 NA 5.28
"Rodentia" "Chaetodipus goldmani" NA NA NA NA
"Rodentia" "Chaetodipus hispidus" 37.24 104.51 NA 5.34
"Rodentia" "Chaetodipus intermedius" 14.94 NA NA 5.53
"Rodentia" "Chaetodipus lineatus" 23 73.58 NA NA
"Rodentia" "Chaetodipus nelsoni" 15.53 79.83 0.002835545 3.46
"Rodentia" "Chaetodipus penicillatus" 15.57 77.36 0.005027576 3.4
"Rodentia" "Chaetodipus pernix" 17 71.87 NA NA
"Rodentia" "Chaetodipus rudinoris" NA NA NA NA
"Rodentia" "Chaetodipus spinatus" 16.34 83.66 NA 3.5
"Rodentia" "Cricetulus barabensis" NA NA NA 6.06
"Rodentia" "Cricetulus kamensis" NA NA NA NA
"Rodentia" "Cricetulus longicaudatus" NA NA NA 5.71
"Rodentia" "Cricetulus migratorius" 30.59 NA NA 5.2
"Rodentia" "Cricetulus sokolovi" NA NA NA NA
"Rodentia" "Cricetus cricetus" 428.95 NA NA 7.14
"Soricomorpha" "Crocidura aleksandrisi" NA NA NA NA
"Soricomorpha" "Crocidura allex" NA NA NA 3.99
"Soricomorpha" "Crocidura andamanensis" NA NA NA NA
"Soricomorpha" "Crocidura ansellorum" NA NA NA NA
"Soricomorpha" "Crocidura arabica" NA NA NA NA
"Soricomorpha" "Crocidura arispa" NA NA NA NA
"Soricomorpha" "Crocidura armenica" NA NA NA NA
"Soricomorpha" "Crocidura attenuata" NA NA NA 0.99
"Soricomorpha" "Crocidura attila" NA NA NA NA
"Soricomorpha" "Crocidura baileyi" NA NA NA NA
"Soricomorpha" "Crocidura baluensis" NA NA NA NA
"Soricomorpha" "Crocidura batesi" 16.49 68.79 NA NA
"Soricomorpha" "Crocidura beatus" 10.55 NA NA NA
"Soricomorpha" "Crocidura beccarii" NA NA NA NA
"Soricomorpha" "Crocidura bottegi" 3.49 NA NA 2.99
"Soricomorpha" "Crocidura bottegoides" NA NA NA NA
"Soricomorpha" "Crocidura brunnea" NA NA NA NA
"Soricomorpha" "Crocidura buettikoferi" NA NA NA 2.99
"Soricomorpha" "Crocidura caliginea" NA NA NA NA
"Soricomorpha" "Crocidura canariensis" 7.5 NA NA NA
"Soricomorpha" "Crocidura caspica" NA NA NA NA
"Soricomorpha" "Crocidura cinderella" NA NA NA NA
"Soricomorpha" "Crocidura congobelgica" NA NA NA NA
"Soricomorpha" "Crocidura crenata" NA NA NA NA
"Soricomorpha" "Crocidura crossei" 8 NA NA 3
"Soricomorpha" "Crocidura cyanea" 8.58 NA NA 3.59
"Soricomorpha" "Crocidura denti" NA NA NA NA
"Soricomorpha" "Crocidura desperata" NA NA NA NA
"Soricomorpha" "Crocidura dhofarensis" NA NA NA NA
"Soricomorpha" "Crocidura dolichura" 5.63 71 NA NA
"Soricomorpha" "Crocidura douceti" 4.3 NA NA NA
"Soricomorpha" "Crocidura dsinezumi" NA NA NA 4.29
"Soricomorpha" "Crocidura eisentrauti" NA NA NA 1.99
"Soricomorpha" "Crocidura elgonius" 6.5 NA NA NA
"Soricomorpha" "Crocidura elongata" NA NA NA NA
"Soricomorpha" "Crocidura erica" NA NA NA NA
"Soricomorpha" "Crocidura fischeri" NA NA NA NA
"Soricomorpha" "Crocidura flavescens" 31.22 NA NA 3.37
"Soricomorpha" "Crocidura floweri" NA NA NA NA
"Soricomorpha" "Crocidura foetida" NA NA NA NA
"Soricomorpha" "Crocidura foxi" 21 NA NA 1.99
"Soricomorpha" "Crocidura fuliginosa" 12 NA NA 1.73
"Soricomorpha" "Crocidura fulvastra" 10 NA NA NA
"Soricomorpha" "Crocidura fumosa" 14.49 NA NA 3.74
"Soricomorpha" "Crocidura fuscomurina" 5.6 60.21 NA 3
"Soricomorpha" "Crocidura glassi" NA NA NA NA
"Soricomorpha" "Crocidura gmelini" NA NA NA NA
"Soricomorpha" "Crocidura goliath" 87.92 147.42 NA NA
"Soricomorpha" "Crocidura gracilipes" 6.69 NA NA 2.99
"Soricomorpha" "Crocidura grandiceps" 23 NA NA NA
"Soricomorpha" "Crocidura grandis" NA NA NA NA
"Soricomorpha" "Crocidura grassei" NA 62.99 NA NA
"Soricomorpha" "Crocidura grayi" 10.7 NA NA NA
"Soricomorpha" "Crocidura greenwoodi" NA NA NA NA
"Soricomorpha" "Crocidura harenna" NA NA NA NA
"Soricomorpha" "Crocidura hildegardeae" 10.28 NA NA NA
"Soricomorpha" "Crocidura hilliana" NA NA NA NA
"Soricomorpha" "Crocidura hirta" 15.8 NA NA 3.89
"Soricomorpha" "Crocidura hispida" NA NA NA NA
"Soricomorpha" "Crocidura orii" NA NA NA NA
"Soricomorpha" "Crocidura palawanensis" NA NA NA NA
"Soricomorpha" "Crocidura paradoxura" NA NA NA NA
"Soricomorpha" "Crocidura parvipes" NA NA NA NA
"Soricomorpha" "Crocidura pasha" 6.5 NA NA NA
"Soricomorpha" "Crocidura pergrisea" NA NA NA NA
"Soricomorpha" "Crocidura phaeura" NA NA NA NA
"Soricomorpha" "Crocidura picea" NA NA NA NA
"Soricomorpha" "Crocidura pitmani" NA NA NA NA
"Soricomorpha" "Crocidura planiceps" 2.5 NA NA 3
"Soricomorpha" "Crocidura poensis" 17.05 NA NA 2.44
"Soricomorpha" "Crocidura polia" NA NA NA NA
"Soricomorpha" "Crocidura pullata" NA NA NA NA
"Soricomorpha" "Crocidura raineyi" 14.49 NA NA NA
"Soricomorpha" "Crocidura ramona" NA NA NA NA
"Soricomorpha" "Crocidura rapax" NA NA NA NA
"Soricomorpha" "Crocidura religiosa" 7 NA NA NA
"Soricomorpha" "Crocidura rhoditis" NA NA NA NA
"Soricomorpha" "Crocidura roosevelti" NA NA NA NA
"Soricomorpha" "Crocidura russula" 9.89 69.29 0.000165903 4.04
"Soricomorpha" "Crocidura selina" NA NA NA NA
"Soricomorpha" "Crocidura serezkyensis" NA NA NA NA
"Soricomorpha" "Crocidura shantungensis" NA NA NA NA
"Soricomorpha" "Crocidura sibirica" NA NA NA NA
"Soricomorpha" "Crocidura sicula" NA NA NA NA
"Soricomorpha" "Crocidura silacea" 7 NA NA 3.99
"Soricomorpha" "Crocidura smithii" NA NA NA NA
"Soricomorpha" "Crocidura somalica" 11.5 NA NA NA
"Soricomorpha" "Crocidura stenocephala" NA NA NA NA
"Soricomorpha" "Crocidura suaveolens" 7.35 NA NA 3.49
"Soricomorpha" "Crocidura susiana" NA NA NA NA
"Chiroptera" "Eptesicus kobayashii" NA NA NA NA
"Chiroptera" "Eptesicus matroka" 6.57 82.49 NA 1.22
"Chiroptera" "Eptesicus nasutus" 7.91 NA NA NA
"Chiroptera" "Eptesicus nilssonii" 10.72 NA NA 1.5
"Chiroptera" "Eptesicus pachyotis" 8.1 NA NA NA
"Perissodactyla" "Equus kiang" 281138.63 NA NA NA
"Perissodactyla" "Equus quagga" 4e+05 NA NA NA
"Perissodactyla" "Equus zebra" 282462.13 2350 7.4 1
"Afrosoricida" "Eremitalpa granti" 22.04 76.02 0.03 1.36
"Rodentia" "Eremodipus lichtensteini" NA NA NA 4.86
"Rodentia" "Erethizon dorsatum" 7419.46 837.5 0.1 1
"Carnivora" "Erignathus barbatus" 279999.99 2293.15 NA 1
"Erinaceomorpha" "Erinaceus amurensis" NA 249.64 NA NA
