version_event,source_id,quote_id,license_event,doi_event,crc_event,version_position,position_description,name_position,location_type,latitude,longitude,geometry,elevation,geonames_id,version_period,calendar,begin_year,begin_month_id,begin_month,begin_day_id,begin_day,begin_hour_id,begin_hour,begin_timestamp,end_year,end_month_id,end_month,end_day_id,end_day,end_hour_id,end_hour,end_timestamp,version_coding,codeset_id,codeset_description,category,path,node_id,node_label,scale_id,scale_label,value_id,value_label,value_index,average,variance,si_unit,si_average,si_variance
0,11784,250205,"not published",,3fce6fc9f240bab12ceffaeef67b436f,0,,"Freiburg, Seepark",location,48.008542,7.821403,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,600560,,climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11787,250203,"not published",,756ac96ea2379ef8886982f80951fdc2,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,600557,"Cold but tolerable ",climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11784,250210,"not published",,bdfc346a7542310df28df0c930a05b9b,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600563,"The precipitation was short-lived but strong",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",100,"much precipitation",2,,,,,
0,11784,250207,"not published",,21d905e91bece5ac245127a673fe275a,0,,"Freiburg, Seepark",location,48.008542,7.821403,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,600562," a patchwork of perfect blue skies and very daunting grey clouds",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11787,250211,"not published",,ca7939f1ef4737292618b32820b16650,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600559,"Dark and overcast",climate,climate/clouds,153,"cloud cover",4,"cloud cover",33,"3/4: very cloudy",3,,,n[],,
0,11784,250207,"not published",,cbf7653731518de0ce92c0331c38e064,0,,"Freiburg, Seepark",location,48.008542,7.821403,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,600561,"It's quite mild today ",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11787,250211,"not published",,60890db48517d638f8f18265efb6a594,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600566,"lightly snowing and very wet ",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",100,"much precipitation",2,,,,,
0,11787,250215,"not published",,005811e0e00ca31e835f9b31b7fa6e16,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,600568,"Its getting cold",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11784,250210,"not published",,473f2430aca1f0aec2f01dc03b62eefd,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600565,"The temperature wasn't that much colder",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11784,250210,"not published",,a6f3a0f3bd1f453c2bad2f9b0b74ba53,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600564,"Skies were grey and quite cloudy.",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
